file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\config\FederationGatewayConfig.java,app.coronawarn.server.common.federation.client.config.FederationGatewayConfig,setSsl/1[app.coronawarn.server.common.federation.client.config.FederationGatewayConfig.Ssl],false,22,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\hostname\HostnameVerifierProvider.java,app.coronawarn.server.common.federation.client.hostname.HostnameVerifierProvider,createHostnameVerifier/0,false,7,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,setId/1[java.lang.String],false,25,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,RegistrationResponse/0,true,12,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,getUrl/0,false,29,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,"RegistrationResponse/2[java.lang.String,java.lang.String]",true,16,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,getId/0,false,21,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\cwa-server-main\common\federation\src\main\java\app\coronawarn\server\common\federation\client\callback\RegistrationResponse.java,app.coronawarn.server.common.federation.client.callback.RegistrationResponse,setUrl/1[java.lang.String],false,33,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,supportedMediaTypesIsProtobuf/0,false,43,1,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,writeInternalThrowsUnsupportedOperationException/0,false,53,3,0,0,0,1,6,5,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,19,0,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,"buildHttpInputMessage/3[byte[],java.lang.String,java.lang.String]",false,30,3,1,1,0,1,6,10,1,2,3,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,21,10,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,readInternalThrowsHttpMessageNotReadableExceptionIfPayloadInvalid/0,false,61,5,1,0,1,1,5,4,0,1,0,5,1,1,0,0,0,0,2,0,1,0,0,0,0,1,24,0,0,false
C:\cwa-server-main\common\federation\src\test\java\app\coronawarn\server\common\federation\client\download\FederationGatewayHttpMessageConverterTest.java,app.coronawarn.server.common.federation.client.download.FederationGatewayHttpMessageConverterTest,supportsReturnsTrueForBatchDownloadResponseClass/0,false,48,3,1,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
